2
3   0	3
33  0   3
74	0	2
8	0	3
65	0	2
62	0	2
30	0	2
39	0	1
80	0	3
94	0	3
78	0	2
40	0	3
47	0	1
85	0	3
25	0	1
94	0	3
16	1	2
54	1	1
5	1	2
29	1	3
10	1	1
76	1	2
88	1	1
45	2	3
73	2	3
67	2	3
24	2	2
4	2	3
92	2	1
15	2	3
91	2	2
69	2	2
92	2	3
39	2	1
95	3	3
60	3	1
19	3	3
69	3	3
57	3	1
57	3	3
78	3	1
48	4	3
76	4	1
7	4	1
10	4	1
95	4	2
80	4	1
90	4	3
87	4	1
44	5	2
75	5	3
48	5	2
18	5	2
45	5	2
75	5	1
94	5	1
48	5	3
57	5	2
14	6	3
69	6	3
31	6	2
18	6	3
62	6	1
34	6	1
52	6	1
96	6	1
18	6	1
36	6	3
27	6	1
80	7	1
10	7	1
79	7	1
47	7	2
27	7	3
55	7	2
90	7	3
16	7	2
30	8	1
67	8	3
33	8	1
21	8	1
71	8	1
28	8	2
97	8	1
62	8	1
95	8	3
48	8	2
97	9	3
23	9	2
33	9	1
27	9	2
67	9	2
54	9	1
84	10	2
86	10	2
88	10	2
75	10	2
16	10	2
68	10	1
48	10	3
